"Average Hourly Earnings  by Sector and Sex (Qrtly-Mar/Jun/Sep/Dec)","",""
"","Total All Sectors",""
" ","Male","Female"
" ","Total (Ordinary Time + Overtime) Hourly","Total (Ordinary Time + Overtime) Hourly"
"1989Q1",14.01,11.55
"1989Q2",14.14,11.66
"1989Q3",14.31,11.75
"1989Q4",14.47,11.91
"1990Q1",14.94,12.26
"1990Q2",15.10,12.39
"1990Q3",15.25,12.52
"1990Q4",15.40,12.68
"1991Q1",15.54,12.86
"1991Q2",15.69,12.87
"1991Q3",15.77,13.00
"1991Q4",15.84,13.08
"1992Q1",15.94,13.19
"1992Q2",16.03,13.17
"1992Q3",15.98,13.19
"1992Q4",16.00,13.20
"1993Q1",15.98,13.18
"1993Q2",16.04,13.25
"1993Q3",15.99,13.20
"1993Q4",16.02,13.26
"1994Q1",16.12,13.33
"1994Q2",16.29,13.36
"1994Q3",16.32,13.34
"1994Q4",16.34,13.45
"1995Q1",16.44,13.56
"1995Q2",16.60,13.64
"1995Q3",16.72,13.73
"1995Q4",16.83,13.83
"1996Q1",16.96,13.95
"1996Q2",17.18,14.17
"1996Q3",17.28,14.27
"1996Q4",17.47,14.38
"1997Q1",17.64,14.60
"1997Q2",17.80,14.69
"1997Q3",17.93,14.84
"1997Q4",17.95,14.95
"1998Q1",18.00,15.09
"1998Q2",18.27,15.20
"1998Q3",18.35,15.30
"1998Q4",18.43,15.54
"1999Q1",18.51,15.57
"1999Q2",18.59,15.70
"1999Q3",18.77,15.94
"1999Q4",18.62,15.97
"2000Q1",18.77,15.91
"2000Q2",19.01,15.95
"2000Q3",19.20,16.12
"2000Q4",19.25,16.18
"2001Q1",19.42,16.37
"2001Q2",19.58,16.56
"2001Q3",19.78,16.79
"2001Q4",19.86,16.80
"2002Q1",20.09,17.00
"2002Q2",19.98,17.02
"2002Q3",20.40,17.26
"2002Q4",20.56,17.39
"2003Q1",20.53,17.46
"2003Q2",20.69,17.72
"2003Q3",20.93,17.95
"2003Q4",21.15,18.09
"2004Q1",21.09,18.20
"2004Q2",21.57,18.57
"2004Q3",21.61,18.62
"2004Q4",21.56,18.56
"2005Q1",21.82,18.90
"2005Q2",22.24,19.33
"2005Q3",22.51,19.45
"2005Q4",22.77,19.55
"2006Q1",22.91,19.99
"2006Q2",23.31,20.10
"2006Q3",23.76,20.33
"2006Q4",23.92,20.53
"2007Q1",24.02,20.89
"2007Q2",24.26,21.02
"2007Q3",24.51,21.38
"2007Q4",24.70,21.62
"2008Q1",25.02,21.96
"2008Q2",25.41,22.27
"2008Q3",25.80,22.65
"2008Q4",26.08,22.85
"2009Q1",26.37,23.20
"2009Q2",26.55,23.38
"2009Q3",26.76,23.41
"2009Q4",26.91,23.42
"2010Q1",26.68,23.45
"2010Q2",26.99,23.65
"2010Q3",27.31,23.92
"2010Q4",27.36,23.96
"2011Q1",27.53,24.14
"2011Q2",27.74,24.37
"2011Q3",28.25,24.45
"2011Q4",28.28,24.55
"2012Q1",28.60,24.72
"2012Q2",28.60,24.86
"2012Q3",29.07,25.12
"2012Q4",29.05,25.09
"2013Q1",29.41,25.14
"2013Q2",29.40,25.39
"2013Q3",29.86,25.70
"2013Q4",29.82,25.85
"2014Q1",30.05,25.95
"2014Q2",29.97,26.12
"2014Q3",30.66,26.49
"2014Q4",30.78,26.55
"2015Q1",30.77,26.54
"2015Q2",30.96,26.56
"2015Q3",31.38,26.99
"2015Q4",31.47,27.04
"2016Q1",31.54,27.16
"2016Q2",31.66,27.24
"2016Q3",32.05,27.61
"2016Q4",32.11,27.56
"2017Q1",32.43,27.78
"2017Q2",32.41,28.04
"2017Q3",32.75,28.33
"2017Q4",32.92,28.61
"2018Q1",33.27,28.65
"2018Q2",33.28,28.90
"2018Q3",33.80,29.27
"2018Q4",34.10,29.41
"2019Q1",34.23,29.58
"2019Q2",34.57,30.17
"2019Q3",34.94,30.31
"2019Q4",35.03,30.66
"2020Q1",35.25,31.00
"2020Q2",35.22,31.45
"2020Q3",35.93,32.04
"2020Q4",36.20,32.27
"2021Q1",36.43,32.38
"2021Q2",36.55,32.74
"2021Q3",37.20,33.15
"2021Q4",37.58,33.48
"2022Q1",38.06,34.13
"2022Q2",38.94,34.87
"2022Q3",40.18,35.40
"2022Q4",40.38,35.94
"2023Q1",41.32,36.39
"2023Q2",41.67,37.19
"Table information:"
"Units:"
"$, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"QEM003AA"
""
"Last updated:"
"02 August 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
