"Filled Jobs  by Sector by Sex and Status in Employment (Qrtly-Mar/Jun/Sep/Dec)","",""
"","Total All Sectors",""
" ","Male","Female"
" ","Total Status in Employment","Total Status in Employment"
"1989Q1",615400,532700
"1989Q2",607600,532600
"1989Q3",592800,532100
"1989Q4",580300,530100
"1990Q1",589300,529800
"1990Q2",579900,523600
"1990Q3",577600,531500
"1990Q4",578900,535100
"1991Q1",591300,543100
"1991Q2",576200,536200
"1991Q3",551700,526400
"1991Q4",552700,525300
"1992Q1",566400,531400
"1992Q2",562300,530500
"1992Q3",546200,528600
"1992Q4",557100,536000
"1993Q1",568100,539600
"1993Q2",569400,543600
"1993Q3",564500,551500
"1993Q4",574500,556700
"1994Q1",590900,564700
"1994Q2",602600,577000
"1994Q3",597600,579900
"1994Q4",610400,590400
"1995Q1",618100,588100
"1995Q2",623500,591900
"1995Q3",629500,607100
"1995Q4",637000,615000
"1996Q1",636100,613300
"1996Q2",647300,622000
"1996Q3",653200,635700
"1996Q4",664700,642200
"1997Q1",642200,611600
"1997Q2",659500,644600
"1997Q3",663700,658400
"1997Q4",667400,663100
"1998Q1",649800,639100
"1998Q2",663400,661400
"1998Q3",657400,665000
"1998Q4",657900,673500
"1999Q1",664700,664500
"1999Q2",659000,674100
"1999Q3",653100,673500
"1999Q4",665000,692800
"2000Q1",670100,680700
"2000Q2",668000,700600
"2000Q3",667000,711000
"2000Q4",682700,719800
"2001Q1",681700,710300
"2001Q2",690500,716600
"2001Q3",680500,721600
"2001Q4",704200,736200
"2002Q1",709800,719100
"2002Q2",719300,743100
"2002Q3",706000,743500
"2002Q4",720900,762000
"2003Q1",718300,753300
"2003Q2",727800,760600
"2003Q3",717100,767200
"2003Q4",736800,785300
"2004Q1",738600,768100
"2004Q2",750000,788900
"2004Q3",743200,792800
"2004Q4",756900,812700
"2005Q1",764200,792400
"2005Q2",762200,793900
"2005Q3",768500,817600
"2005Q4",774900,827700
"2006Q1",784900,803500
"2006Q2",787900,815800
"2006Q3",775900,823300
"2006Q4",799500,830100
"2007Q1",794300,804300
"2007Q2",804000,827900
"2007Q3",801000,828400
"2007Q4",822300,849400
"2008Q1",818400,815200
"2008Q2",822800,837700
"2008Q3",807300,832600
"2008Q4",805300,837400
"2009Q1",790200,806000
"2009Q2",783000,814300
"2009Q3",761000,813800
"2009Q4",774900,822400
"2010Q1",787100,815600
"2010Q2",797600,831900
"2010Q3",778200,823200
"2010Q4",783800,830500
"2011Q1",802500,822700
"2011Q2",806900,832600
"2011Q3",785900,825800
"2011Q4",806600,835300
"2012Q1",810900,831500
"2012Q2",808500,845800
"2012Q3",802400,835300
"2012Q4",807500,853400
"2013Q1",822600,846800
"2013Q2",833800,859900
"2013Q3",829000,867200
"2013Q4",834900,872800
"2014Q1",846300,864400
"2014Q2",860400,890100
"2014Q3",846600,891700
"2014Q4",854300,888800
"2015Q1",862500,886300
"2015Q2",859800,902000
"2015Q3",859000,903000
"2015Q4",870100,911600
"2016Q1",891200,915700
"2016Q2",900600,928600
"2016Q3",887300,928900
"2016Q4",894000,955400
"2017Q1",917000,944400
"2017Q2",927200,967800
"2017Q3",915000,958800
"2017Q4",928500,981100
"2018Q1",941100,977600
"2018Q2",950800,994900
"2018Q3",939100,987900
"2018Q4",940800,1009300
"2019Q1",951600,1000300
"2019Q2",958700,1027400
"2019Q3",950100,1026500
"2019Q4",966200,1042000
"2020Q1",965100,1028900
"2020Q2",972400,1017900
"2020Q3",947000,1018500
"2020Q4",974200,1040800
"2021Q1",980800,1022400
"2021Q2",996000,1042000
"2021Q3",988300,1055700
"2021Q4",1006200,1093600
"2022Q1",1015500,1071300
"2022Q2",1007600,1060400
"2022Q3",1004100,1070900
"2022Q4",1032700,1096200
"2023Q1",1045300,1087000
"2023Q2",1097700,1105400
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"QEM036AA"
""
"Last updated:"
"02 August 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
